Gene	Pvalue
VFG000918(gb|NP_756175) (chuT) periplasmic heme-binding protein ChuT [Chu (VF0227)] [Escherichia coli CFT073]	2.99335132050354e-14
VFG000887(gb|NP_755461) (papK) P pilus minor subunit PapK [P fimbriae (VF0220)] [Escherichia coli CFT073]	3.49637170100064e-16
VFG000618(gb|NP_709457) (iucD) aerobactin synthesis protein IucC, lysine 6-monooxygenase [Aerobactin (VF0123)] [Shigella flexneri 2a str. 301]	1.86862936736034e-12
VFG033129(gi:386622204) (papC) Fimbriae usher protein StfC [P fimbriae (CVF425)] [Escherichia coli NA114]	0.0002379090963355
VFG033317(gi:157155516) (fimF) protein FimF [Type I fimbriae (CVF426)] [Escherichia coli E24377A]	2.60822339753288e-19
VFG033954(gi:410484659) (iucD) L-lysine 6-monooxygenase (Lysine N(6)-hydroxylase) [Aerobactin siderophore (CVF457)] [Escherichia coli O104:H4 str. 2009EL-2050]	8.75487241299084e-11
VFG035879(gi:110640454) (aec8) hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli 536]	6.65925019809954e-06
VFG045782 (matA/ecpR) Mat/Ecp fimbriae transcriptional regulator [E. coli common pilus (ECP) (CVF625)] [Escherichia coli O25b:H4-ST131]	6.51564323687916e-05
VFG012947(gi:74313968) (iucA) siderophore biosynthesis protein [Aerobactin synthesis (CVF474)] [Shigella sonnei Ss046]	4.07459634005279e-08
VFG012951(gi:82546635) (iucB) siderophore biosynthesis protein [Aerobactin synthesis (CVF474)] [Shigella boydii Sb227]	1.65131734705905e-05
VFG044171(gi:26248334) (hma) putative outer membrane receptor for iron compound or colicin [direct heme uptake system (IA048)] [Escherichia coli CFT073]	1.23503691232284e-05
VFG000925(gb|NP_752606) (fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073]	3.41427894626903e-15
VFG035762(gi:110640445) (aec18) hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli 536]	0.00780105091327343
VFG044159(gb|NP_752602) (fes) enterobactin/ferric enterobactin esterase [enterobactin (IA019)] [Escherichia coli CFT073]	0.00448829021912251
VFG035992(gi:91209435) (ehaB) structural protein [EhaB, AIDA-I type (CVF744)] [Escherichia coli UTI89]	1.34745738183613e-08
VFG000903(gb|NP_752289) (pic) serine protease precursor [Pic (VF0232)] [Escherichia coli CFT073]	8.20894620255596e-16
VFG043693(gi:112292718) (clbB) putative hybrid polyketide-non-ribosomal peptide synthetase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]	4.1506779821274e-08
VFG043686(gi:112292711) (clbI) putative polyketide synthase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]	4.27347059673022e-13
VFG043685(gi:112292710) (clbJ) putative non-ribosomal peptide synthase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]	1.35229281834909e-21
VFG043545(gi:218560235) (ECS88_3547) lipoprotein NlpI [NlpI (AI331)] [Escherichia coli O45:K1:H7 str. S88]	2.01834354064727e-11
VFG043692(gi:112292717) (clbC) putative polyketide synthase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]	7.25997907103535e-05
VFG043679(gi:112292704) (clbP) putative penicillin binding protein [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]	0.00693540820417894
VFG000931(gb|NP_752611) (entC) isochorismate synthase 1 [Enterobactin (VF0228)] [Escherichia coli CFT073]	3.8084265226519e-05
VFG043684(gi:112292709) (clbK) putative hybrid non-ribosomal peptide-polyketide synthetase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]	6.3936185937905e-08
VFG035940(gi:26250246) (upaG/ehaG) adhesin [UpaG (SS168)] [Escherichia coli CFT073]	0.000505377685975555
VFG043544(gi:15800816) (Z1307) outer membrane protein A [OmpA (AI330)] [Escherichia coli O157:H7 str. EDL933]	1.48538625659227e-05
VFG043688(gi:112292713) (clbG) putative malonyl-CoA transacylase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]	3.97165769236385e-05
VFG035347(gi:386640312) (ECABU_c31070) ImpA-related N-terminal family protein [SCI-I T6SS (CVF734)] [Escherichia coli ABU 83972]	1.91463640848804e-08
VFG036031(gi:26246247) (cdiA) ShlA/HecA/FhaA exofamily protein [Contact-dependent inhibition CDI system (CVF747)] [Escherichia coli CFT073]	7.40740531179865e-09
VFG043683(gi:112292708) (clbL) putative amidase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]	1.95040962432689e-11
VFG001449(gb|AAA24047) (kpsT) KpsT [K1 capsule (VF0239)] [Escherichia coli O18:K1:H7 str. RS218]	0.000184738554172223
VFG049160(gb|YP_006635486.1) (clbN) colibactin non-ribosomal peptide synthetase ClbN [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]	0.00307377255227533
VFG049158(gb|YP_006635484.1) (clbL) colibactin biosynthesis amidase ClbL [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]	8.13372146901326e-19
VFG043680(gi:112292705) (clbO) putative polyketide synthase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]	0.000428893214224157
VFG043689(gi:112292714) (clbF) putative acyl-CoA dehydrogenase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]	3.59359866229444e-22
VFG049148(gb|YP_006635474.1) (clbB) colibactin hybrid non-ribosomal peptide synthetase/type I polyketide synthase ClbB [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]	2.0333255948211e-13
VFG049153(gb|YP_006635479.1) (clbG) colibactin biosynthesis acyltransferase ClbG [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]	8.01395776624767e-05
VFG000924(gb|NP_752610) (fepB) ferrienterobactin ABC transporter periplasmic binding protein [Enterobactin (VF0228)] [Escherichia coli CFT073]	2.25850315866815e-06
VFG036039(gi:386637642) (cdiB) putative hemolysin activator ShlB-type [Contact-dependent inhibition CDI system (CVF747)] [Escherichia coli ABU 83972]	6.18026067538024e-05
VFG049161(gb|YP_006635487.1) (clbO) colibactin polyketide synthase ClbO [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]	0.000123731145152365
VFG043682(gi:112292707) (clbM) putative drug/sodium antiporter [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]	2.62470620042283e-05
VFG043681(gi:112292706) (clbN) putative non-ribosomal peptide synthetase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]	1.51768176122289e-05
VFG043687(gi:112292712) (clbH) putative non-ribosomal peptide synthase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]	3.3014457144785e-05
VFG043678(gi:112292703) (clbQ) putative thioesterase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]	0.000438167324957066
VFG049154(gb|YP_006635480.1) (clbH) colibactin non-ribosomal peptide synthetase ClbH [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]	1.66282508177538e-07
VFG044172(gb|NP_756180) (chuV) ATP-binding hydrophilic protein ChuV [Chu (VF0227)] [Escherichia coli CFT073]	3.77559277898998e-06
VFG000923(gb|NP_752600) (fepA) ferrienterobactin outer membrane transporter [Enterobactin (VF0228)] [Escherichia coli CFT073]	2.11072137862704e-08
VFG033958(gi:218701709) (iucD) L-lysine 6-monooxygenase [Aerobactin siderophore (CVF457)] [Escherichia coli O7:K1 str. IAI39]	1.67829576856618e-06
VFG046068 (csgG) curli production assembly/transport component CsgG [Curli fibers (CVF822)] [Escherichia coli VR50]	0.00661583996626815
VFG000929(gb|NP_752599) (entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	1.47666566712171e-09
VFG000930(gb|NP_752604) (entF) enterobactin synthase multienzyme complex component, ATP-dependent [Enterobactin (VF0228)] [Escherichia coli CFT073]	0.000108736942735438
VFG001443(gb|AAF37887) (ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]	9.88365126435401e-07
VFG000928(gb|NP_752607) (fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]	0.00359349318059597
VFG000932(gb|NP_752612) (entE) 2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	0.00035577126120583
VFG049155(gb|YP_006635481.1) (clbI) colibactin polyketide synthase ClbI [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]	0.000133064478801185
