Freq	VFDB
1.3	VFG044171(gi:26248334) (hma) putative outer membrane receptor for iron compound or colicin [direct heme uptake system (IA048)] [Escherichia coli CFT073]
0.8	VFG000925(gb|NP_752606) (fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073]
0.8	VFG035762(gi:110640445) (aec18) hypothetical protein [ACE T6SS (CVF736)] [Escherichia coli 536]
0.8	VFG044159(gb|NP_752602) (fes) enterobactin/ferric enterobactin esterase [enterobactin (IA019)] [Escherichia coli CFT073]
0.7	VFG035992(gi:91209435) (ehaB) structural protein [EhaB, AIDA-I type (CVF744)] [Escherichia coli UTI89]
0.7	VFG000903(gb|NP_752289) (pic) serine protease precursor [Pic (VF0232)] [Escherichia coli CFT073]
0.7	VFG043693(gi:112292718) (clbB) putative hybrid polyketide-non-ribosomal peptide synthetase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.7	VFG043686(gi:112292711) (clbI) putative polyketide synthase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.7	VFG043692(gi:112292717) (clbC) putative polyketide synthase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.7	VFG043685(gi:112292710) (clbJ) putative non-ribosomal peptide synthase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.6	VFG043679(gi:112292704) (clbP) putative penicillin binding protein [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.6	VFG000931(gb|NP_752611) (entC) isochorismate synthase 1 [Enterobactin (VF0228)] [Escherichia coli CFT073]
0.6	VFG043688(gi:112292713) (clbG) putative malonyl-CoA transacylase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.6	VFG043684(gi:112292709) (clbK) putative hybrid non-ribosomal peptide-polyketide synthetase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.6	VFG043683(gi:112292708) (clbL) putative amidase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.6	VFG043545(gi:218560235) (ECS88_3547) lipoprotein NlpI [NlpI (AI331)] [Escherichia coli O45:K1:H7 str. S88]
0.6	VFG035940(gi:26250246) (upaG/ehaG) adhesin [UpaG (SS168)] [Escherichia coli CFT073]
0.6	VFG049160(gb|YP_006635486.1) (clbN) colibactin non-ribosomal peptide synthetase ClbN [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.6	VFG043680(gi:112292705) (clbO) putative polyketide synthase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.6	VFG043544(gi:15800816) (Z1307) outer membrane protein A [OmpA (AI330)] [Escherichia coli O157:H7 str. EDL933]
0.6	VFG035347(gi:386640312) (ECABU_c31070) ImpA-related N-terminal family protein [SCI-I T6SS (CVF734)] [Escherichia coli ABU 83972]
0.6	VFG001449(gb|AAA24047) (kpsT) KpsT [K1 capsule (VF0239)] [Escherichia coli O18:K1:H7 str. RS218]
0.6	VFG049158(gb|YP_006635484.1) (clbL) colibactin biosynthesis amidase ClbL [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.6	VFG036031(gi:26246247) (cdiA) ShlA/HecA/FhaA exofamily protein [Contact-dependent inhibition CDI system (CVF747)] [Escherichia coli CFT073]
0.6	VFG043689(gi:112292714) (clbF) putative acyl-CoA dehydrogenase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.5	VFG049148(gb|YP_006635474.1) (clbB) colibactin hybrid non-ribosomal peptide synthetase/type I polyketide synthase ClbB [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.5	VFG000924(gb|NP_752610) (fepB) ferrienterobactin ABC transporter periplasmic binding protein [Enterobactin (VF0228)] [Escherichia coli CFT073]
0.5	VFG049153(gb|YP_006635479.1) (clbG) colibactin biosynthesis acyltransferase ClbG [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.5	VFG049161(gb|YP_006635487.1) (clbO) colibactin polyketide synthase ClbO [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.5	VFG043682(gi:112292707) (clbM) putative drug/sodium antiporter [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.5	VFG043681(gi:112292706) (clbN) putative non-ribosomal peptide synthetase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.5	VFG043678(gi:112292703) (clbQ) putative thioesterase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.5	VFG036039(gi:386637642) (cdiB) putative hemolysin activator ShlB-type [Contact-dependent inhibition CDI system (CVF747)] [Escherichia coli ABU 83972]
0.5	VFG049154(gb|YP_006635480.1) (clbH) colibactin non-ribosomal peptide synthetase ClbH [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.5	VFG044172(gb|NP_756180) (chuV) ATP-binding hydrophilic protein ChuV [Chu (VF0227)] [Escherichia coli CFT073]
0.5	VFG043687(gi:112292712) (clbH) putative non-ribosomal peptide synthase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.5	VFG000923(gb|NP_752600) (fepA) ferrienterobactin outer membrane transporter [Enterobactin (VF0228)] [Escherichia coli CFT073]
0.5	VFG033958(gi:218701709) (iucD) L-lysine 6-monooxygenase [Aerobactin siderophore (CVF457)] [Escherichia coli O7:K1 str. IAI39]
0.5	VFG000929(gb|NP_752599) (entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
0.4	VFG049155(gb|YP_006635481.1) (clbI) colibactin polyketide synthase ClbI [Colibactin (VF0573)] [Klebsiella pneumoniae subsp. pneumoniae 1084]
0.4	VFG046068 (csgG) curli production assembly/transport component CsgG [Curli fibers (CVF822)] [Escherichia coli VR50]
0.4	VFG001443(gb|AAF37887) (ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]
0.4	VFG000930(gb|NP_752604) (entF) enterobactin synthase multienzyme complex component, ATP-dependent [Enterobactin (VF0228)] [Escherichia coli CFT073]
0.4	VFG000928(gb|NP_752607) (fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]
0.4	VFG043691(gi:112292716) (clbD) putative 3-hydroxyacyl-CoA dehydrogenase [colibactin (TX033)] [Escherichia coli O18:K1:H7 str. IHE3034]
0.4	VFG000932(gb|NP_752612) (entE) 2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
