Freq	VFDB
1.5	VFG036031(gi:26246247) (cdiA) ShlA/HecA/FhaA exofamily protein [Contact-dependent inhib...
1.2	VFG043693(gi:112292718) (clbB) putative hybrid polyketide-non-ribosomal peptide synthet...
1.1	VFG002711(gi:2765179) (cnf) - [CNF (CVF038)] [Yersinia pestis biovar Microtus str. 91001]
1	VFG049148(gb|YP_006635474.1) (clbB) colibactin hybrid non-ribosomal peptide synthetase/...
0.8	VFG043685(gi:112292710) (clbJ) putative non-ribosomal peptide synthase [colibactin (TX0...
0.7	VFG043684(gi:112292709) (clbK) putative hybrid non-ribosomal peptide-polyketide synthet...
0.6	VFG035940(gi:26250246) (upaG/ehaG) adhesin [UpaG (SS168)] [Escherichia coli CFT073]
0.6	VFG049157(gb|YP_006635483.1) (clbK) colibactin hybrid non-ribosomal peptide synthetase/...
0.6	VFG000930(gb|NP_752604) (entF) enterobactin synthase multienzyme complex component, ATP...
0.6	VFG049156(gb|YP_006635482.1) (clbJ) colibactin non-ribosomal peptide synthetase ClbJ [C...
0.6	VFG036033(gi:91213894) (cdiA) ShlA/HecA/FhaA exofamily protein [CdiA-CdiB (SS125)] [Esc...
0.6	VFG035992(gi:91209435) (ehaB) structural protein [EhaB, AIDA-I type (CVF744)] [Escheric...
0.6	VFG044171(gi:26248334) (hma) putative outer membrane receptor for iron compound or coli...
0.5	VFG000903(gb|NP_752289) (pic) serine protease precursor [Pic (VF0232)] [Escherichia col...
0.5	VFG043687(gi:112292712) (clbH) putative non-ribosomal peptide synthase [colibactin (TX0...
0.5	VFG049154(gb|YP_006635480.1) (clbH) colibactin non-ribosomal peptide synthetase ClbH [C...
0.5	VFG043545(gi:218560235) (ECS88_3547) lipoprotein NlpI [NlpI (AI331)] [Escherichia coli ...
0.5	VFG049160(gb|YP_006635486.1) (clbN) colibactin non-ribosomal peptide synthetase ClbN [C...
0.5	VFG043681(gi:112292706) (clbN) putative non-ribosomal peptide synthetase [colibactin (T...
0.5	VFG036032(gi:110644687) (cdiA) hemagglutinin-related protein [Contact-dependent inhibit...
0.4	VFG035970(gi:386638926) (upaH) EntS/YbdA MFS transporter [UpaH, AIDA-I type (CVF741)] [...
0.4	VFG001448(gb|AAA21682) (kpsD) KpsD [K1 capsule (VF0239)] [Escherichia coli O18:K1:H7 st...
0.4	VFG012785(gi:3776756) (ospC4) - [Mxi-Spa TTSS effectors controlled by VirB (CVF463)] [S...
0.4	VFG000923(gb|NP_752600) (fepA) ferrienterobactin outer membrane transporter [Enterobact...
0.4	VFG043686(gi:112292711) (clbI) putative polyketide synthase [colibactin (TX033)] [Esche...
0.3	VFG001731(gi:26249445) (c3610) bifunctional enterobactin receptor/adhesin protein [IrgA...
0.3	VFG035944(gi:117625880) (upaG/ehaG) autotransporter/adhesin [UpaG adhesin, trimeric AT ...
0.3	VFG012856(gi:3799473) (ipaH) - [Mxi-Spa TTSS effectors controlled by MxiE (CVF465)] [Sh...
0.3	VFG035945(gi:91213116) (upaG/ehaG) autotransport adhesin [UpaG adhesin, trimeric AT (CV...
0.3	VFG043692(gi:112292717) (clbC) putative polyketide synthase [colibactin (TX033)] [Esche...
0.3	VFG012552(gi:110642114) (irp1) yersiniabactin biosynthetic protein [Yersiniabactin side...
0.3	VFG045825 (upaC) autotransporter protein UpaC [EhaB, AIDA-I type (CVF744)] [Escherichia...
0.3	VFG049155(gb|YP_006635481.1) (clbI) colibactin polyketide synthase ClbI [Colibactin (VF...
0.3	VFG000932(gb|NP_752612) (entE) 2,3-dihydroxybenzoate-AMP ligase component of enterobact...
0.3	VFG004079(gi:3333009) (fimC) - [Fim (CVF003)] [Salmonella enterica subsp. enterica sero...
0.3	VFG012837(gi:82524546) (ipaH2.5) invasion plasmid antigen, fragment [Mxi-Spa TTSS effec...
0.3	VFG000931(gb|NP_752611) (entC) isochorismate synthase 1 [Enterobactin (VF0228)] [Escher...
0.3	VFG035938(gi:218707301) (air/eaeX) hypothetical protein [Enteroaggregative immunoglobul...
0.3	VFG043680(gi:112292705) (clbO) putative polyketide synthase [colibactin (TX033)] [Esche...
0.3	VFG049149(gb|YP_006635475.1) (clbC) colibactin polyketide synthase ClbC [Colibactin (VF...
0.3	VFG036039(gi:386637642) (cdiB) putative hemolysin activator ShlB-type [Contact-dependen...
0.3	VFG049161(gb|YP_006635487.1) (clbO) colibactin polyketide synthase ClbO [Colibactin (VF...
0.2	VFG035206(gi:117625048) (APECO1_3711) hypothetical protein [SCI-I T6SS (CVF734)] [Esche...
0.2	VFG044159(gb|NP_752602) (fes) enterobactin/ferric enterobactin esterase [enterobactin (...
0.2	VFG035762(gi:110640445) (aec18) hypothetical protein [ACE T6SS (CVF736)] [Escherichia c...
0.2	VFG035943(gi:110643846) (upaG/ehaG) hemagglutinin/invasin [UpaG adhesin, trimeric AT (C...
0.2	VFG012865(gi:1027614) (ipaH5) - [T3SS (SS011)] [Shigella flexneri 2a str. 301]
0.2	VFG035971(gi:386629132) (upaH) putative autotransporter/adhesin [UpaH, AIDA-I type (CVF...
0.2	VFG036009(gi:222155165) (ehaB) structural protein [EhaB, AIDA-I type (CVF744)] [Escheri...
0.2	VFG035187(gi:117625047) (APECO1_3712) ATPase [SCI-I T6SS (CVF734)] [Escherichia coli AP...
0.2	VFG000904(gb|NP_752330) (vat) Haemoglobin protease [Tsh (VF0233)] [Escherichia coli CFT...
0.2	VFG033818(gi:222155089) (vat) Haemoglobin protease [Vacuolating autotransporter gene (C...
0.2	VFG035957(gi:387609338) (upaG/ehaG) adhesin [UpaG adhesin, trimeric AT (CVF740)] [Esche...
0.2	VFG012448(gi:117622559) (vat) vacuolating autotransporter [Vat (SS080)] [Escherichia co...
0.2	VFG045349(gb|YP_002390132) (fdeC) adhesin FdeC [FdeC (VF0506)] [Escherichia coli O45:K1...
0.2	VFG044172(gb|NP_756180) (chuV) ATP-binding hydrophilic protein ChuV [Chu (VF0227)] [Esc...
0.2	VFG034547(gi:91209367) (eaeH) attaching and effacing protein, pathogenesis factor [EaeH...
0.2	VFG042592(gi:46487741) (stgC) StgC [Stg fimbriae (AI047)] [Escherichia coli O78:K80:H9 ...
0.2	VFG012447(gi:110640550) (vat) SepA [SepA (SS063)] [Escherichia coli 536]
